nu,idFile,number,states/code,states/name,states/nu,states/forbidden/into/bool/v,states/forbidden/into/bool/uv,states/forbidden/into/comment/en,states/forbidden/into/comment/en.1,states/forbidden/into/comment/en.2,states/forbidden/into/comment/en.3,states/quara/into/where/e,states/quara/into/where/v,states/quara/into/where/uv,states/quara/into/dur/e,states/quara/into/dur/v,states/quara/into/dur/uv,states/quara/into/comment/en,states/quara/into/comment/de,states/quara/into/comment/fr,states/quara/into/comment/es,states/test/into/pcr/e,states/test/into/pcr/v,states/test/into/pcr/uv,states/test/into/or,states/test/into/ag/e,states/test/into/ag/v,states/test/into/ag/uv,states/test/into/comment/en,states/test/into/comment/de,states/test/into/comment/fr,states/test/into/comment/es,states/link/into,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
DZ,DZ_States,91,42,Tipaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,92,38,Tissemsilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,93,15,Tizi Ouzou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,94,13,Tlemcen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZ,DZ_States,95,12,Tébessa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS,AS_States,96,AS,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,AD_States,97,7,Andorra la Vella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,AD_States,98,2,Canillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,AD_States,99,3,Encamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,AD_States,100,8,Escaldes-Engordany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,AD_States,101,4,La Massana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,AD_States,102,5,Ordino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,AD_States,103,6,Sant Julià de Lòria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,104,BGO,Bengo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,105,BGU,Benguela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,106,BIE,Bié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,107,CAB,Cabinda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,108,CNN,Cunene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,109,HUA,Huambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,110,HUI,Huíla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,111,CCU,Kuando Kubango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,112,CNO,Kwanza Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,113,CUS,Kwanza Sul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,114,LUA,Luanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,115,LNO,Lunda Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,116,LSU,Lunda Sul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,117,MAL,Malange,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,118,MOX,Moxico,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,119,NAM,Namibe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,120,UIG,Uíge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,AO_States,121,ZAI,Zaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,AI_States,122,AI,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQ,AQ_States,123,AQ,AQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,AG_States,124,10,Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,AG_States,125,11,Redonda,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,AG_States,126,3,Saint George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,AG_States,127,4,Saint John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,AG_States,128,5,Saint Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,AG_States,129,6,Saint Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,AG_States,130,7,Saint Peter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,AG_States,131,8,Saint Philip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,132,B,Buenos Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,133,K,Catamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,134,H,Chaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,135,U,Chubut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,136,C,Ciudad Autónoma de Buenos Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,137,W,Corrientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,138,X,Córdoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,139,E,Entre Ríos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,140,P,Formosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,141,Y,Jujuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,142,L,La Pampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,143,F,La Rioja,AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,144,M,Mendoza,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,145,N,Misiones,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,146,Q,Neuquén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,147,R,Río Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,148,A,Salta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,149,J,San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,150,D,San Luis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,151,Z,Santa Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,152,S,Santa Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,153,G,Santiago del Estero,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,154,V,Tierra del Fuego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,AR_States,155,T,Tucumán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM_States,156,AG,Aragac̣otn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM_States,157,AR,Ararat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM_States,158,AV,Armavir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM_States,159,ER,Erevan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM_States,160,GR,Geġark'unik',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM_States,161,KT,Kotayk',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM_States,162,LO,Loṙi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM_States,163,SU,Syunik',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM_States,164,TV,Tavuš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM_States,165,VD,Vayoć Jor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM_States,166,SH,Širak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,AW_States,167,AW,AW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,AU_States,168,ACT,Australian Capital Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,AU_States,169,NSW,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,AU_States,170,NT,Northern Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,AU_States,171,QLD,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,AU_States,172,SA,South Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,AU_States,173,TAS,Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,AU_States,174,VIC,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,AU_States,175,WA,Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,AT_States,176,B,Burgenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,AT_States,177,K,Kärnten,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,AT_States,178,NÖ,Niederösterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,AT_States,179,OÖ,Oberösterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,AT_States,180,S,Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,AT_States,181,ST,Steiermark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,AT_States,182,T,Tirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,AT_States,183,V,Vorarlberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,AT_States,184,W,Wien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,AZ_States,185,NX,Naxçıvan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,186,AK,Acklins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,187,BY,Berry Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,188,BI,Bimini,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,189,BP,Black Point,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,190,CI,Cat Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,191,CO,Central Abaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,192,CS,Central Andros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,193,CE,Central Eleuthera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,194,FP,City of Freeport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,195,CK,Crooked Island and Long Cay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,196,EG,East Grand Bahama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,197,EX,Exuma,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,198,GC,Grand Cay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,199,HI,Harbour Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,200,HT,Hope Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,201,IN,Inagua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,202,LI,Long Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,203,MC,Mangrove Cay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,204,MG,Mayaguana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,205,MI,Moores Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,206,NO,North Abaco,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,207,NS,North Andros,BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,208,NE,North Eleuthera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,209,RI,Ragged Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,210,RC,Rum Cay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,211,SS,San Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,212,SO,South Abaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,213,SA,South Andros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,214,SE,South Eleuthera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS_States,215,SW,Spanish Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
